;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
exercise kombi;Superdefault;Target Muscle;exercise name;possible;eqipment ;default ;hands used;;grip type ;;;;;plane;;;;;;grip width;;;cable height  ;;;bench;;;stand;;;;;;bench : cable ;;;body : bench;;;;;body pos;;;sit;;info for equipment;info for exercise;Cables used;
;;;;WAHR;90° bend ;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;staight;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;;;;;;;;;;0;45;90;90 os;135;180;;;;;;;;;;;;0;90;;;;
;FALSCH;triceps ;extension ;WAHR;d-handle var;FALSCH;WAHR*;WAHR;WAHR;WAHR;WAHR*;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;WAHR*;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;1=90° und 2=0°;;WAHR;FALSCH
;;;;WAHR;d-handle fix;FALSCH;WAHR;FALSCH;WAHR*;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;ropes;WAHR;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;1rope;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR; nooses ;WAHR*;WAHR;WAHR*;WAHR;WAHR;WAHR*;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR*;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;1=90° und 2=0°;;WAHR;FALSCH
;;;;WAHR;raw ;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;cuff ;FALSCH;WAHR;FALSCH;WAHR;WAHR;WAHR*;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;FALSCH;EZ bend;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;FALSCH;FALSCH
;;;;FALSCH;90° bend ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;FALSCH;FALSCH
;;;;FALSCH;staight;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;FALSCH;FALSCH
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;;;;;;;;;;0;45;90;90 os;135;180;;;;;;;;;;;;0;90;;;;
;WAHR;triceps ;extension ;WAHR;d-handle var;FALSCH;WAHR*;WAHR;WAHR;WAHR;WAHR*;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;d-handle fix;FALSCH;WAHR*;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;ropes;WAHR;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;Default ändert sich wenn 1 Hand used:  ropes = FALSCH, nooses = WAHR, raw = WAHR, cuff = WAHR*;;WAHR;FALSCH
;;;;WAHR;1rope;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR; nooses ;WAHR*;WAHR;WAHR;WAHR;WAHR;WAHR*;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;Default ändert sich wenn 1 Hand used:  ropes = FALSCH, nooses = WAHR, raw = WAHR, cuff = WAHR*;;WAHR;FALSCH
;;;;WAHR;raw ;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;Default ändert sich wenn 1 Hand used:  ropes = FALSCH, nooses = WAHR, raw = WAHR, cuff = WAHR*;;WAHR;FALSCH
;;;;WAHR;cuff ;FALSCH;WAHR;FALSCH;WAHR;WAHR;WAHR;WAHR*;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;Default ändert sich wenn 1 Hand used:  ropes = FALSCH, nooses = WAHR, raw = WAHR, cuff = WAHR*;;WAHR;FALSCH
;;;;WAHR;EZ bend;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;WAHR*;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;90° bend ;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;staight;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR*;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;;;;;;;;;;0;45;90;90 os;135;180;;;;;;;;;;;;0;90;;;;
;FALSCH;triceps ;overhead extension;WAHR;d-handle var;WAHR;WAHR*;WAHR;FALSCH;WAHR;WAHR*;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR*;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;1=90°, wenn das ausgewählt dann kommt eine weitere Auswahlmöglichkeit dazu: knieend ;;WAHR;FALSCH
;;;;FALSCH;d-handle fix;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;FALSCH;FALSCH
;;;;WAHR;ropes;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;1rope;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;1=90°, wenn das ausgewählt dann kommt eine weitere Auswahlmöglichkeit dazu: knieend ;;WAHR;FALSCH
;;;;WAHR; nooses ;FALSCH;WAHR;WAHR*;FALSCH;WAHR;WAHR*;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR*;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;raw ;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;1=90°, wenn das ausgewählt dann kommt eine weitere Auswahlmöglichkeit dazu: knieend ;;WAHR;FALSCH
;;;;WAHR;cuff ;FALSCH;WAHR;FALSCH;FALSCH;WAHR;WAHR*;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;1=90°, wenn das ausgewählt dann kommt eine weitere Auswahlmöglichkeit dazu: knieend ;;WAHR;FALSCH
;;;;WAHR;EZ bend;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;WAHR*;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;90° bend ;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;FALSCH;staight;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;FALSCH;FALSCH
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;;;;;;;;;;0;45;90;90 os;135;180;;;;;;;;;;;;0;90;;;;
;WAHR;triceps ;overhead extension;WAHR;d-handle var;FALSCH;WAHR*;WAHR;FALSCH;WAHR;WAHR*;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;WAHR*;WAHR;;;;;;;;;;;;FALSCH;FALSCH;1=135°, 2=180°;;WAHR;FALSCH
;;;;FALSCH;d-handle fix;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;entweder 135 oder 90 und einen Schritt nach vorne ;FALSCH;FALSCH
;;;;WAHR;ropes;WAHR;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;da sollt knieend auch möglich sein ;WAHR;FALSCH
;;;;WAHR;1rope;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR; nooses ;WAHR*;WAHR;WAHR*;WAHR;WAHR;WAHR*;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;raw ;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;cuff ;FALSCH;WAHR;FALSCH;WAHR;WAHR;WAHR*;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;EZ bend;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;90° bend ;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;staight;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR*;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;;;;;;;;;;0;45;90;90 os;135;180;;;;;;;;;;;;0;90;;;;
;FALSCH;triceps ;overhead extension;WAHR;d-handle var;WAHR;WAHR*;WAHR;WAHR;WAHR;WAHR*;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;d-handle fix;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR*;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;ropes;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;1rope;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR; nooses ;FALSCH;WAHR;WAHR*;WAHR;WAHR;WAHR*;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;raw ;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;cuff ;FALSCH;WAHR;FALSCH;WAHR;WAHR;WAHR*;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;EZ bend;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;WAHR*;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;90° bend ;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;WAHR;staight;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR*;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;;;;;;;;;;0;45;90;90 os;135;180;;;;;;;;;;;;0;90;;;;
;WAHR;chest;fly;WAHR;d-handle var;FALSCH;WAHR;WAHR*;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;;;;WAHR;WAHR;WAHR;;;;FALSCH;FALSCH;WAHR*;WAHR;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;; ;WAHR;d-handle fix;WAHR;WAHR;WAHR*;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;;;;WAHR;WAHR;WAHR;;;;FALSCH;FALSCH;WAHR*;WAHR;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;WAHR;FALSCH
;;; ;FALSCH;ropes;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;FALSCH;FALSCH
;;;;FALSCH;1rope;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;FALSCH;FALSCH;;;FALSCH;FALSCH
